iter	Passed	Remaining
0	1	132
1	2	104
2	2	91
3	3	85
4	4	82
5	5	78
6	5	76
7	6	74
8	7	72
9	7	71
10	8	69
11	9	71
12	10	73
13	12	76
14	13	77
15	14	75
16	15	73
17	16	74
18	17	72
19	17	71
20	18	69
21	19	68
22	19	66
23	20	65
24	21	65
25	22	64
26	23	64
27	25	64
28	27	67
29	28	66
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	35	56
39	37	55
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	51
46	44	49
47	44	48
48	45	47
49	46	46
50	46	45
51	47	44
52	48	43
53	49	42
54	51	41
55	52	41
56	53	40
57	54	39
58	54	38
59	55	37
60	56	36
61	57	34
62	58	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	69	22
76	70	21
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
